Country,Unit Of Currency,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Australia,Dollar,AUD,0.4959,2.016700
Canada,Dollar,CAD,0.5688,1.758200
Denmark,Krone,DKK,0.1190,8.404100
Eurozone,Euro,EUR,0.8886,1.125400
Hong Kong,Dollar,HKD,0.1039,9.624600
Japan,Yen,JPY,0.0075,134.160000
Norway,Norwegian Krone,NOK,0.0760,13.153300
South Africa,Rand,ZAR,0.0448,22.300000
Sweden,Krona,SEK,0.0802,12.470000
Switzerland,Franc,CHF,0.8393,1.191400
USA,Dollar,USD,0.8057,1.241200
