Country,Unit Of Currency,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Australia,Dollar,AUD,0.5416,1.8464
Canada,Dollar,CAD,0.5969,1.6753
Denmark,Krone,DKK,0.1183,8.4505
Eurozone,Euro,EUR,0.8814,1.1345
Hong Kong,Dollar,HKD,0.1029,9.719
Japan,Yen,JPY,0.0061,164.3452
Norway,Norwegian Krone,NOK,0.0776,12.8824
South Africa,Rand,ZAR,0.0452,22.1155
Sweden,Krona,SEK,0.078,12.8252
Switzerland,Franc,CHF,0.8845,1.1306
USA,Dollar,USD,0.8077,1.2381
