Country,Unit of Currency,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Australia,Dollar,AUD,0.5712,1.7506
Canada,Dollar,CAD,0.6097,1.6401
Denmark,Krone,DKK,0.1139,8.7765
Eurozone,Euro,EUR,0.8475,1.18
Hong Kong,Dollar,HKD,0.097,10.3114
Japan,Yen,JPY,0.0062,160.7428
Norway,Norwegian Krone,NOK,0.0886,11.2926
South Africa,Rand,ZAR,0.0525,19.0397
Sweden,Krona,SEK,0.082,12.188
Switzerland,Franc,CHF,0.823,1.215
USA,Dollar,USD,0.7591,1.3174
