Country,Unit Of Currency,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Australia,Dollar,AUD,0.5613,1.7816
Canada,Dollar,CAD,0.6114,1.6355
Denmark,Krone,DKK,0.1190,8.4033
Eurozone,Euro,EUR,0.8850,1.1300
Hong Kong,Dollar,HKD,0.1064,9.3949
Japan,Yen,JPY,0.0062,160.5836
Norway,Norwegian Krone,NOK,0.0839,11.9157
South Africa,Rand,ZAR,0.0491,20.3540
Sweden,Krona,SEK,0.0793,12.6036
Switzerland,Franc,CHF,0.8842,1.1310
USA,Dollar,USD,0.8296,1.2054
