Country/Territories,Currency,Currency Code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.8528,01/04/2022,30/04/2022
Albania,Lek,ALL,147.353,01/04/2022,30/04/2022
Algeria,Dinar,DZD,188.1978,01/04/2022,30/04/2022
Angola,Readj Kwanza,AOA,601.8973,01/04/2022,30/04/2022
Antigua,E Caribbean Dollar,XCD,3.5672,01/04/2022,30/04/2022
Argentina,Peso,ARS,145.5634,01/04/2022,30/04/2022
Armenia,Dram,AMD,644.9698,01/04/2022,30/04/2022
Aruba,Florin,AWG,2.3649,01/04/2022,30/04/2022
Australia,Dollar,AUD,1.7619,01/04/2022,30/04/2022
Azerbaijan,New Manat,AZN,2.2447,01/04/2022,30/04/2022
Bahamas,Dollar,BSD,1.3212,01/04/2022,30/04/2022
Bahrain,Dinar,BHD,0.4982,01/04/2022,30/04/2022
Bangladesh,Taka,BDT,113.8805,01/04/2022,30/04/2022
Barbados,Dollar,BBD,2.6424,01/04/2022,30/04/2022
Belarus,Rouble,BYN,4.3203,01/04/2022,30/04/2022
Belize,Dollar,BZD,2.6424,01/04/2022,30/04/2022
Benin,CFA Franc,XOF,787.7542,01/04/2022,30/04/2022
Bermuda,Dollar (US),BMD,1.3212,01/04/2022,30/04/2022
Bhutan,Ngultrum,BTN,100.8106,01/04/2022,30/04/2022
Bolivia,Boliviano,BOB,9.1295,01/04/2022,30/04/2022
Bosnia- Herzegovinia,Marka,BAM,2.3488,01/04/2022,30/04/2022
Botswana,Pula,BWP,15.2036,01/04/2022,30/04/2022
Brazil,Real,BRL,6.4065,01/04/2022,30/04/2022
Brunei,Dollar,BND,1.7935,01/04/2022,30/04/2022
Bulgaria,Lev,BGN,2.349,01/04/2022,30/04/2022
Burkina Faso,CFA Franc,XOF,787.7542,01/04/2022,30/04/2022
Burundi,Franc,BIF,2655.6045,01/04/2022,30/04/2022
Cambodia,Riel,KHR,5346.88,01/04/2022,30/04/2022
Cameroon Republic,CFA Franc,XAF,787.7542,01/04/2022,30/04/2022
