Country/Territories,Currency,Currency Code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.8426,01/09/2020,30/09/2020
Albania,Lek,ALL,137.19,01/09/2020,30/09/2020
Algeria,Dinar,DZD,168.62,01/09/2020,30/09/2020
Angola,Readj Kwanza,AOA,760.9,01/09/2020,30/09/2020
Antigua,E Caribbean Dollar,XCD,3.5597,01/09/2020,30/09/2020
Argentina,Peso,ARS,96.869,01/09/2020,30/09/2020
Armenia,Dram,AMD,638.49,01/09/2020,30/09/2020
Aruba,Florin,AWG,2.3599,01/09/2020,30/09/2020
Australia,Dollar,AUD,1.8216,01/09/2020,30/09/2020
Azerbaijan,New Manat,AZN,2.2399,01/09/2020,30/09/2020
Bahamas,Dollar,BSD,1.3184,01/09/2020,30/09/2020
Bahrain,Dinar,BHD,0.497,01/09/2020,30/09/2020
Bangladesh,Taka,BDT,111.74,01/09/2020,30/09/2020
Barbados,Dollar,BBD,2.6368,01/09/2020,30/09/2020
Belarus,Rouble,BYN,3.2506,01/09/2020,30/09/2020
Belize,Dollar,BZD,2.6368,01/09/2020,30/09/2020
Benin,CFA Franc,XOF,726.69,01/09/2020,30/09/2020
Bermuda,Dollar (US),BMD,1.3184,01/09/2020,30/09/2020
Bhutan,Ngultrum,BTN,98.65,01/09/2020,30/09/2020
Bolivia,Boliviano,BOB,9.1101,01/09/2020,30/09/2020
Bosnia- Herzegovinia,Marka,BAM,2.1668,01/09/2020,30/09/2020
Botswana,Pula,BWP,15.29,01/09/2020,30/09/2020
Brazil,Real,BRL,7.2432,01/09/2020,30/09/2020
Brunei,Dollar,BND,1.8006,01/09/2020,30/09/2020
Bulgaria,Lev,BGN,2.1666,01/09/2020,30/09/2020
Burkina Faso,CFA Franc,XOF,726.69,01/09/2020,30/09/2020
Burundi,Franc,BIF,2543.81,01/09/2020,30/09/2020
Cambodia,Riel,KHR,5388.58,01/09/2020,30/09/2020
Cameroon Republic,CFA Franc,XAF,726.69,01/09/2020,30/09/2020
Canada,Dollar,CAD,1.7352,01/09/2020,30/09/2020
