Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Argentina,Peso,ARS,117.67,01/02/2021,28/02/2021
Australia,Dollar,AUD,1.7604,01/02/2021,28/02/2021
Brazil,Real,BRL,7.2223,01/02/2021,28/02/2021
Canada,Dollar,CAD,1.7215,01/02/2021,28/02/2021
Denmark,Krone,DKK,8.3763,01/02/2021,28/02/2021
Hong Kong,Dollar,HKD,10.56,01/02/2021,28/02/2021
India,Rupee,INR,99.55,01/02/2021,28/02/2021
Israel,Shekel,ILS,4.456,01/02/2021,28/02/2021
Japan,Yen,JPY,141.18,01/02/2021,28/02/2021
Malaysia,Ringgit,MYR,5.514,01/02/2021,28/02/2021
New Zealand,Dollar,NZD,1.9033,01/02/2021,28/02/2021
Norway,Norwegian Krone,NOK,11.59,01/02/2021,28/02/2021
Saudi Arabia,Riyal,SAR,5.1144,01/02/2021,28/02/2021
Singapore,Dollar,SGD,1.8068,01/02/2021,28/02/2021
South Africa,Rand,ZAR,20.29,01/02/2021,28/02/2021
South Korea,Won,KRW,1499.95,01/02/2021,28/02/2021
Sweden,Krona,SEK,11.38,01/02/2021,28/02/2021
Switzerland,Franc,CHF,1.2142,01/02/2021,28/02/2021
Taiwan,Dollar,TWD,38.16,01/02/2021,28/02/2021
Thailand,Baht,THB,40.88,01/02/2021,28/02/2021
USA,Dollar,USD,1.3632,01/02/2021,28/02/2021
Eurozone,Euro,EUR,1.1261,01/02/2021,28/02/2021
Abu Dhabi,Dirham,AED,5.0071,01/02/2021,28/02/2021
Albania,Lek,ALL,138.9,01/02/2021,28/02/2021
Algeria,Dinar,DZD,180.76,01/02/2021,28/02/2021
Angola,Readj Kwanza,AOA,886.73,01/02/2021,28/02/2021
Antigua,E Caribbean Dollar,XCD,3.6805,01/02/2021,28/02/2021
Armenia,Dram,AMD,707.73,01/02/2021,28/02/2021
Aruba,Florin,AWG,2.4401,01/02/2021,28/02/2021
Azerbaijan,New Manat,AZN,2.316,01/02/2021,28/02/2021
Bahamas,Dollar,BSD,1.3632,01/02/2021,28/02/2021
Bahrain,Dinar,BHD,0.5139,01/02/2021,28/02/2021
