Country/Territories,Currency,Currency Code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.5516,01/02/2023,28/02/2023
Albania,Lek,ALL,133.1772,01/02/2023,28/02/2023
Algeria,Dinar,DZD,168.4464,01/02/2023,28/02/2023
Angola,Readj Kwanza,AOA,628.8958,01/02/2023,28/02/2023
Antigua,E Caribbean Dollar,XCD,3.3458,01/02/2023,28/02/2023
Argentina,Peso,ARS,226.5264,01/02/2023,28/02/2023
Armenia,Dram,AMD,490.4231,01/02/2023,28/02/2023
Aruba,Florin,AWG,2.2182,01/02/2023,28/02/2023
Australia,Dollar,AUD,1.7679,01/02/2023,28/02/2023
Azerbaijan,New Manat,AZN,2.1097,01/02/2023,28/02/2023
Bahamas,Dollar,BSD,1.2392,01/02/2023,28/02/2023
Bahrain,Dinar,BHD,0.4671,01/02/2023,28/02/2023
Bangladesh,Taka,BDT,131.9752,01/02/2023,28/02/2023
Barbados,Dollar,BBD,2.4784,01/02/2023,28/02/2023
Belarus,Rouble,BYN,3.098,01/02/2023,28/02/2023
Belize,Dollar,BZD,2.4784,01/02/2023,28/02/2023
Benin,CFA Franc,XOF,750.4632,01/02/2023,28/02/2023
Bermuda,Dollar (US),BMD,1.2392,01/02/2023,28/02/2023
Bhutan,Ngultrum,BTN,100.6977,01/02/2023,28/02/2023
Bolivia,Boliviano,BOB,8.5629,01/02/2023,28/02/2023
Bosnia- Herzegovinia,Marka,BAM,2.2376,01/02/2023,28/02/2023
Botswana,Pula,BWP,15.6663,01/02/2023,28/02/2023
Brazil,Real,BRL,6.3178,01/02/2023,28/02/2023
Brunei,Dollar,BND,1.6323,01/02/2023,28/02/2023
Bulgaria,Lev,BGN,2.2376,01/02/2023,28/02/2023
Burkina Faso,CFA Franc,XOF,750.4632,01/02/2023,28/02/2023
Burundi,Franc,BIF,2558.9551,01/02/2023,28/02/2023
Cambodia,Riel,KHR,5097.4155,01/02/2023,28/02/2023
Cameroon Republic,CFA Franc,XAF,750.4632,01/02/2023,28/02/2023
Canada,Dollar,CAD,1.661,01/02/2023,28/02/2023
Cape Verde Islands,Escudo,CVE,126.2655,01/02/2023,28/02/2023
Cayman Islands,Dollar,KYD,1.0161,01/02/2023,28/02/2023
Central African Republic,CFA Franc,XAF,750.4632,01/02/2023,28/02/2023
Chad,CFA Franc,XAF,750.4632,01/02/2023,28/02/2023
Chile,Peso,CLP,1013.9163,01/02/2023,28/02/2023
China,Yuan,CNY,8.3785,01/02/2023,28/02/2023
Colombia,Peso,COP,5809.6233,01/02/2023,28/02/2023
Comoros,Franc,KMF,562.8475,01/02/2023,28/02/2023
Congo (Brazaville),CFA Franc,XAF,750.4632,01/02/2023,28/02/2023
