Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.5722,01/05/2023,31/05/2023
Albania,Lek,ALL,127.6192,01/05/2023,31/05/2023
Algeria,Dinar,DZD,168.9204,01/05/2023,31/05/2023
Angola,Readj Kwanza,AOA,637.5668,01/05/2023,31/05/2023
Antigua,E Caribbean Dollar,XCD,3.3615,01/05/2023,31/05/2023
Argentina,Peso,ARS,270.7774,01/05/2023,31/05/2023
Armenia,Dram,AMD,482.6384,01/05/2023,31/05/2023
Aruba,Florin,AWG,2.2286,01/05/2023,31/05/2023
Australia,Dollar,AUD,1.852,01/05/2023,31/05/2023
Azerbaijan,New Manat,AZN,2.1196,01/05/2023,31/05/2023
Bahamas,Dollar,BSD,1.245,01/05/2023,31/05/2023
Bahrain,Dinar,BHD,0.4694,01/05/2023,31/05/2023
Bangladesh,Taka,BDT,133.6637,01/05/2023,31/05/2023
Barbados,Dollar,BBD,2.49,01/05/2023,31/05/2023
Belarus,Rouble,BYN,3.125,01/05/2023,31/05/2023
Belize,Dollar,BZD,2.49,01/05/2023,31/05/2023
Benin,CFA Franc,XOF,745.2383,01/05/2023,31/05/2023
Bermuda,Dollar (US),BMD,1.245,01/05/2023,31/05/2023
Bhutan,Ngultrum,BTN,102.3752,01/05/2023,31/05/2023
Bolivia,Boliviano,BOB,8.603,01/05/2023,31/05/2023
Bosnia- Herzegovinia,Marka,BAM,2.222,01/05/2023,31/05/2023
Botswana,Pula,BWP,16.3494,01/05/2023,31/05/2023
Brazil,Real,BRL,6.2695,01/05/2023,31/05/2023
Brunei,Dollar,BND,1.6608,01/05/2023,31/05/2023
Bulgaria,Lev,BGN,2.222,01/05/2023,31/05/2023
Burkina Faso,CFA Franc,XOF,745.2383,01/05/2023,31/05/2023
Burundi,Franc,BIF,2591.7815,01/05/2023,31/05/2023
Cambodia,Riel,KHR,5063.9383,01/05/2023,31/05/2023
Cameroon Republic,CFA Franc,XAF,745.2383,01/05/2023,31/05/2023
Canada,Dollar,CAD,1.6727,01/05/2023,31/05/2023
Cape Verde Islands,Escudo,CVE,125.5848,01/05/2023,31/05/2023
Cayman Islands,Dollar,KYD,1.0209,01/05/2023,31/05/2023
Central African Republic,CFA Franc,XAF,745.2383,01/05/2023,31/05/2023
Chad,CFA Franc,XAF,745.2383,01/05/2023,31/05/2023
Chile,Peso,CLP,990.7746,01/05/2023,31/05/2023
China,Yuan,CNY,8.5874,01/05/2023,31/05/2023
Colombia,Peso,COP,5625.6607,01/05/2023,31/05/2023
Comoros,Franc,KMF,558.9288,01/05/2023,31/05/2023
Congo (Brazaville),CFA Franc,XAF,745.2383,01/05/2023,31/05/2023
Congo (DemRep),Congo Fr,CDF,2563.0911,01/05/2023,31/05/2023
Costa Rica,Colon,CRC,666.8804,01/05/2023,31/05/2023
Cote d'Ivoire,CFA Franc,XOF,745.2383,01/05/2023,31/05/2023
Cuba,Peso,CUP,29.8136,01/05/2023,31/05/2023
Czech Republic,Koruna,CZK,26.5998,01/05/2023,31/05/2023
Denmark,Krone,DKK,8.4662,01/05/2023,31/05/2023
Djibouti,Franc,DJF,221.7381,01/05/2023,31/05/2023
Dominica,E Caribbean Dollar,XCD,3.3615,01/05/2023,31/05/2023
Dominican Republic,Peso,DOP,67.9648,01/05/2023,31/05/2023
Dubai,Dirham,AED,4.5722,01/05/2023,31/05/2023
Ecuador,Dollar,ECS,1.245,01/05/2023,31/05/2023
Egypt,Pound,EGP,38.4716,01/05/2023,31/05/2023
El Salvador,Colon,SVC,10.8967,01/05/2023,31/05/2023
Equatorial Guinea,CFA Franc,XAF,745.2383,01/05/2023,31/05/2023
Eritrea,Nakfa,ERN,18.6751,01/05/2023,31/05/2023
Ethiopia,Birr,ETB,67.6514,01/05/2023,31/05/2023
Eurozone,Euro,EUR,1.1361,01/05/2023,31/05/2023
Fiji Islands,Dollar,FJD,2.778,01/05/2023,31/05/2023
Fr. Polynesia,CFP Franc,XPF,135.5738,01/05/2023,31/05/2023
Gabon,CFA Franc,XAF,745.2383,01/05/2023,31/05/2023
Gambia,Dalasi,GMD,77.4393,01/05/2023,31/05/2023
Georgia,Lari,GEL,3.1312,01/05/2023,31/05/2023
Ghana,Cedi,GHS,14.8778,01/05/2023,31/05/2023
Grenada,E Caribbean Dollar,XCD,3.3615,01/05/2023,31/05/2023
Guatemala,Quetzal,GTQ,9.7098,01/05/2023,31/05/2023
Guinea Bissau,CFA Franc,XOF,745.2383,01/05/2023,31/05/2023
Guinea Republic,Franc,GNF,10696.8003,01/05/2023,31/05/2023
Guyana,Dollar,GYD,263.3909,01/05/2023,31/05/2023
Haiti,Gourde,HTG,192.0104,01/05/2023,31/05/2023
Honduras,Lempira,HNL,30.6645,01/05/2023,31/05/2023
Hong Kong,Dollar,HKD,9.773,01/05/2023,31/05/2023
Hungary,Forint,HUF,430.3579,01/05/2023,31/05/2023
Iceland,Krona,ISK,169.8435,01/05/2023,31/05/2023
India,Rupee,INR,102.3752,01/05/2023,31/05/2023
Indonesia,Rupiah,IDR,18482.1019,01/05/2023,31/05/2023
Iraq,Dinar,IQD,1642.306,01/05/2023,31/05/2023
Israel,Shekel,ILS,4.5418,01/05/2023,31/05/2023
Jamaica,Dollar,JMD,189.7354,01/05/2023,31/05/2023
Japan,Yen,JPY,167.5963,01/05/2023,31/05/2023
Jordan,Dinar,JOD,0.8838,01/05/2023,31/05/2023
Kazakhstan,Tenge,KZT,569.2907,01/05/2023,31/05/2023
Kenya,Schilling,KES,168.3246,01/05/2023,31/05/2023
Kuwait,Dinar,KWD,0.3817,01/05/2023,31/05/2023
Kyrgyz Republic,Som,KGS,108.9628,01/05/2023,31/05/2023
Lao People's Dem Rep,Kip,LAK,21329.8183,01/05/2023,31/05/2023
Lebanon,Pound,LBP,18730.1694,01/05/2023,31/05/2023
Lesotho,Loti,LSL,22.5533,01/05/2023,31/05/2023
Liberia,Dollar (US),LRD,1.245,01/05/2023,31/05/2023
Libya,Dinar,LYD,5.9375,01/05/2023,31/05/2023
Macao,Pataca,MOP,10.0662,01/05/2023,31/05/2023
Macedonia,Denar,MKD,69.9257,01/05/2023,31/05/2023
Madagascar,Malagasy Ariary,MGA,5473.5646,01/05/2023,31/05/2023
Malawi,Kwacha,MWK,1277.9162,01/05/2023,31/05/2023
Malaysia,Ringgit,MYR,5.5303,01/05/2023,31/05/2023
Maldive Islands,Rufiyaa,MVR,19.1108,01/05/2023,31/05/2023
Mali Republic,CFA Franc,XOF,745.2383,01/05/2023,31/05/2023
Mauritania,Ouguiya,MRU,44.484,01/05/2023,31/05/2023
Mauritius,Rupee,MUR,56.0874,01/05/2023,31/05/2023
Mexico,Mexican Peso,MXN,22.4639,01/05/2023,31/05/2023
Moldova,Leu,MDL,22.3814,01/05/2023,31/05/2023
Mongolia,Tugrik,MNT,4369.9666,01/05/2023,31/05/2023
Montserrat,E Caribbean Dollar,XCD,3.3615,01/05/2023,31/05/2023
Morocco,Dirham,MAD,12.6286,01/05/2023,31/05/2023
Mozambique,Metical,MZN,79.506,01/05/2023,31/05/2023
Myanmar,Kyat,MMK,2615.2291,01/05/2023,31/05/2023
Nepal,Rupee,NPR,163.8003,01/05/2023,31/05/2023
New Caledonia,CFP Franc,XPF,135.5738,01/05/2023,31/05/2023
