Country/Territories,Currency,Currency Code,Currency Units per £1,Start Date ,End Date
Malawi,Kwacha,MWK,1265.5127,01/06/2023,30/06/2023
Malaysia,Ringgit,MYR,5.6776,01/06/2023,30/06/2023
Maldive Islands,Rufiyaa,MVR,18.9811,01/06/2023,30/06/2023
Mali Republic,CFA Franc,XOF,753.6588,01/06/2023,30/06/2023
Mauritania,Ouguiya,MRU,44.18202,01/06/2023,30/06/2023
Mauritius,Rupee,MUR,56.2631,01/06/2023,30/06/2023
Mexico,Mexican Peso,MXN,22.0403,01/06/2023,30/06/2023
Moldova,Leu,MDL,21.9021,01/06/2023,30/06/2023
Mongolia,Tugrik,MNT,4321.7528,01/06/2023,30/06/2023
Montserrat,E Caribbean Dollar,XCD,3.3387,01/06/2023,30/06/2023
Morocco,Dirham,MAD,12.6428,01/06/2023,30/06/2023
Mozambique,Metical,MZN,78.9972,01/06/2023,30/06/2023
Myanmar,Kyat,MMK,2593.366,01/06/2023,30/06/2023
Nepal,Rupee,NPR,163.5662,01/06/2023,30/06/2023
New Caledonia,CFP Franc,XPF,137.1057,01/06/2023,30/06/2023
New Zealand,Dollar,NZD,2.0243,01/06/2023,30/06/2023
Nicaragua,Gold Cordoba,NIO,45.2949,01/06/2023,30/06/2023
Niger Republic,CFA Franc,XOF,753.6588,01/06/2023,30/06/2023
Nigeria,Naira,NGN,574.6878,01/06/2023,30/06/2023
Norway,Norwegian Krone,NOK,13.5461,01/06/2023,30/06/2023
Oman,Rial,OMR,0.4761,01/06/2023,30/06/2023
Pakistan,Rupee,PKR,354.2723,01/06/2023,30/06/2023
Panama,Balboa,PAB,1.2366,01/06/2023,30/06/2023
Papua New Guinea,Kina,PGK,4.3739,01/06/2023,30/06/2023
Paraguay,Guarani,PYG,8955.6703,01/06/2023,30/06/2023
Peru,New Sol,PEN,4.5485,01/06/2023,30/06/2023
Philippines,Peso,PHP,68.9774,01/06/2023,30/06/2023
Poland,Zloty,PLN,5.176,01/06/2023,30/06/2023
Qatar,Riyal,QAR,4.5011,01/06/2023,30/06/2023
Romania,New Leu,RON,5.7032,01/06/2023,30/06/2023
Russia,Rouble,RUB,99.357,01/06/2023,30/06/2023
Rwanda,Franc,RWF,1390.3178,01/06/2023,30/06/2023
Saotome & Principe,Dobra,STD,28141.3,01/06/2023,30/06/2023
Saudi Arabia,Riyal,SAR,4.6374,01/06/2023,30/06/2023
Senegal,CFA Franc,XOF,753.6588,01/06/2023,30/06/2023
Serbia,Dinar,RSD,134.7533,01/06/2023,30/06/2023
Seychelles,Rupee,SCR,17.3163,01/06/2023,30/06/2023
Sierra Leone,Leone,SLE,27.9296,01/06/2023,30/06/2023
Singapore,Dollar,SGD,1.6684,01/06/2023,30/06/2023
Soloman Islands,Dollar,SBD,10.3956,01/06/2023,30/06/2023
Somali Republic,Schilling,SOS,702.9801,01/06/2023,30/06/2023
South Africa,Rand,ZAR,23.7495,01/06/2023,30/06/2023
South Korea,Won,KRW,1628.9107,01/06/2023,30/06/2023
Sri Lanka,Rupee,LKR,375.1268,01/06/2023,30/06/2023
