Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.6765,01/08/2020,31/08/2020
Albania,Lek,ALL,135.97,01/08/2020,31/08/2020
Algeria,Dinar,DZD,162.54,01/08/2020,31/08/2020
Angola,Readj Kwanza,AOA,703.46,01/08/2020,31/08/2020
Antigua,E Caribbean Dollar,XCD,3.4375,01/08/2020,31/08/2020
Argentina,Peso,ARS,91.3814,01/08/2020,31/08/2020
Armenia,Dram,AMD,616.41,01/08/2020,31/08/2020
Aruba,Florin,AWG,2.2789,01/08/2020,31/08/2020
Australia,Dollar,AUD,1.7825,01/08/2020,31/08/2020
Azerbaijan,New Manat,AZN,2.1631,01/08/2020,31/08/2020
Bahamas,Dollar,BSD,1.2732,01/08/2020,31/08/2020
Bahrain,Dinar,BHD,0.48,01/08/2020,31/08/2020
Bangladesh,Taka,BDT,108.02,01/08/2020,31/08/2020
Barbados,Dollar,BBD,2.5463,01/08/2020,31/08/2020
Belarus,Rouble,BYN,3.0362,01/08/2020,31/08/2020
Belize,Dollar,BZD,2.5463,01/08/2020,31/08/2020
Benin,CFA Franc,XOF,720.37,01/08/2020,31/08/2020
Bermuda,Dollar (US),BMD,1.2732,01/08/2020,31/08/2020
Bhutan,Ngultrum,BTN,95.17,01/08/2020,31/08/2020
Bolivia,Boliviano,BOB,8.7975,01/08/2020,31/08/2020
Bosnia- Herzegovinia,Marka,BAM,2.1479,01/08/2020,31/08/2020
Botswana,Pula,BWP,14.55,01/08/2020,31/08/2020
Brazil,Real,BRL,6.4923,01/08/2020,31/08/2020
Brunei,Dollar,BND,1.7617,01/08/2020,31/08/2020
Bulgaria,Lev,BGN,2.1481,01/08/2020,31/08/2020
Burkina Faso,CFA Franc,XOF,720.37,01/08/2020,31/08/2020
Burundi,Franc,BIF,2452.98,01/08/2020,31/08/2020
Cambodia,Riel,KHR,5219.93,01/08/2020,31/08/2020
Cameroon Republic,CFA Franc,XAF,720.37,01/08/2020,31/08/2020
Canada,Dollar,CAD,1.7098,01/08/2020,31/08/2020
Cape Verde Islands,Escudo,CVE,121.66,01/08/2020,31/08/2020
Cayman Islands,Dollar,KYD,1.044,01/08/2020,31/08/2020
Central African Republic,CFA Franc,XAF,720.37,01/08/2020,31/08/2020
Chad,CFA Franc,XAF,720.37,01/08/2020,31/08/2020
Chile,Peso,CLP,976.45,01/08/2020,31/08/2020
China,Yuan,CNY,8.9158,01/08/2020,31/08/2020
Colombia,Peso,COP,4612.29,01/08/2020,31/08/2020
Comoros,Franc,KMF,540.28,01/08/2020,31/08/2020
Congo (Brazaville),CFA Franc,XAF,720.37,01/08/2020,31/08/2020
