Country,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Malaysia,Ringgit,MYR,5.1418,01/04/2020,30/04/2020
Maldive Islands,Rufiyaa,MVR,18.11,01/04/2020,30/04/2020
Mali Republic,CFA Franc,XOF,712.26,01/04/2020,30/04/2020
Mauritania,Ouguiya,MRU,43.76,01/04/2020,30/04/2020
Mauritius,Rupee,MUR,45.99,01/04/2020,30/04/2020
Mexico,Mexican Peso,MXN,27.91,01/04/2020,30/04/2020
Moldova,Leu,MDL,20.99,01/04/2020,30/04/2020
Mongolia,Tugrik,MNT,3253.77,01/04/2020,30/04/2020
Montserrat,E Caribbean Dollar,XCD,3.1761,01/04/2020,30/04/2020
Morocco,Dirham,MAD,11.45,01/04/2020,30/04/2020
Mozambique,Metical,MZN,77.93,01/04/2020,30/04/2020
Myanmar,Kyat,MMK,1680.84,01/04/2020,30/04/2020
Nepal,Rupee,NPR,139.76,01/04/2020,30/04/2020
New Caledonia,CFP Franc,XPF,129.57,01/04/2020,30/04/2020
New Zealand,Dollar,NZD,2.0364,01/04/2020,30/04/2020
Nicaragua,Gold Cordoba,NIO,40.05,01/04/2020,30/04/2020
Niger Republic,CFA Franc,XOF,712.26,01/04/2020,30/04/2020
Nigeria,Naira,NGN,432.97,01/04/2020,30/04/2020
Norway,Norwegian Krone,NOK,13.03,01/04/2020,30/04/2020
Oman,Rial,OMR,0.4531,01/04/2020,30/04/2020
Pakistan,Rupee,PKR,186.45,01/04/2020,30/04/2020
Panama,Balboa,PAB,1.1763,01/04/2020,30/04/2020
Papua New Guinea,Kina,PGK,4.0286,01/04/2020,30/04/2020
Paraguay,Guarani,PYG,7763.8,01/04/2020,30/04/2020
Peru,New Sol,PEN,4.1982,01/04/2020,30/04/2020
Philippines,Peso,PHP,60.05,01/04/2020,30/04/2020
Poland,Zloty,PLN,4.9168,01/04/2020,30/04/2020
Qatar,Riyal,QAR,4.2831,01/04/2020,30/04/2020
Romania,New Leu,RON,5.2723,01/04/2020,30/04/2020
Russia,Rouble,RUB,94.36,01/04/2020,30/04/2020
Rwanda,Franc,RWF,1112.23,01/04/2020,30/04/2020
Saotome & Principe,Dobra,STD,28409,01/04/2020,30/04/2020
Saudi Arabia,Riyal,SAR,4.4154,01/04/2020,30/04/2020
Senegal,CFA Franc,XOF,712.26,01/04/2020,30/04/2020
Serbia,Dinar,RSD,127.62,01/04/2020,30/04/2020
Seychelles,Rupee,SCR,16.36,01/04/2020,30/04/2020
Sierra Leone,Leone,SLL,11528.2,01/04/2020,30/04/2020
Singapore,Dollar,SGD,1.6999,01/04/2020,30/04/2020
Soloman Islands,Dollar,SBD,9.746,01/04/2020,30/04/2020
Somali Republic,Schilling,SOS,690.51,01/04/2020,30/04/2020
South Africa,Rand,ZAR,20.119,01/04/2020,30/04/2020
South Korea,Won,KRW,1465.25,01/04/2020,30/04/2020
Sri Lanka,Rupee,LKR,218.44,01/04/2020,30/04/2020
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.1761,01/04/2020,30/04/2020
St Lucia,E Caribbean Dollar,XCD,3.1761,01/04/2020,30/04/2020
St Vincent,E Caribbean Dollar,XCD,3.1761,01/04/2020,30/04/2020
Sudan Republic,Pound,SDG,65.05,01/04/2020,30/04/2020
Surinam,Dollar,SRD,8.7732,01/04/2020,30/04/2020
Swaziland,Lilangeni,SZL,20.11,01/04/2020,30/04/2020
Sweden,Krona,SEK,12.05,01/04/2020,30/04/2020
Switzerland,Franc,CHF,1.1447,01/04/2020,30/04/2020
Taiwan,Dollar,TWD,35.57,01/04/2020,30/04/2020
Tanzania,Schilling,TZS,2711.47,01/04/2020,30/04/2020
Thailand,Baht,THB,38.2,01/04/2020,30/04/2020
Togo Republic,CFA Franc,XOF,712.26,01/04/2020,30/04/2020
Tonga Islands,Pa'anga (AUS),TOP,2.0209,01/04/2020,30/04/2020
Trinidad/Tobago,Dollar,TTD,7.9465,01/04/2020,30/04/2020
Tunisia,Dinar,TND,3.417,01/04/2020,30/04/2020
Turkey,Turkish  Lira,TRY,7.6224,01/04/2020,30/04/2020
Turkmenistan,New Manat,TMT,4.1172,01/04/2020,30/04/2020
UAE,Dirham,AED,4.3209,01/04/2020,30/04/2020
Uganda,Schilling,UGX,4452.47,01/04/2020,30/04/2020
Ukraine,Hryvnia,UAH,32.3,01/04/2020,30/04/2020
Uruguay,Peso,UYU,53.93,01/04/2020,30/04/2020
USA,Dollar,USD,1.1763,01/04/2020,30/04/2020
Uzbekistan,Sum,UZS,11199.22,01/04/2020,30/04/2020
Vanuatu,Vatu,VUV,146.84,01/04/2020,30/04/2020
Venezuela,Bolivar Fuerte,VEF,289115,01/04/2020,30/04/2020
Vietnam,Dong,VND,27388.93,01/04/2020,30/04/2020
Wallis & Futuna Islands,CFP Franc,XPF,129.57,01/04/2020,30/04/2020
Western Samoa,Tala,WST,3.2831,01/04/2020,30/04/2020
Yemen (Rep of),Rial,YER,294.49,01/04/2020,30/04/2020
Zambia,Kwacha,ZMW,19.79,01/04/2020,30/04/2020
Zimbabwe,Dollar,ZWL,425.71,01/04/2020,30/04/2020
