Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Malaysia,Ringgit,MYR,5.3869,01/05/2020,31/05/2020
Maldive Islands,Rufiyaa,MVR,19.01,01/05/2020,31/05/2020
Mali Republic,CFA Franc,XOF,746.79,01/05/2020,31/05/2020
Mauritania,Ouguiya,MRU,46.35,01/05/2020,31/05/2020
Mauritius,Rupee,MUR,49.7,01/05/2020,31/05/2020
Mexico,Mexican Peso,MXN,30.28,01/05/2020,31/05/2020
Moldova,Leu,MDL,22.4,01/05/2020,31/05/2020
Mongolia,Tugrik,MNT,3435.52,01/05/2020,31/05/2020
Montserrat,E Caribbean Dollar,XCD,3.3283,01/05/2020,31/05/2020
Morocco,Dirham,MAD,12.3,01/05/2020,31/05/2020
Mozambique,Metical,MZN,83.17,01/05/2020,31/05/2020
Myanmar,Kyat,MMK,1777.03,01/05/2020,31/05/2020
Nepal,Rupee,NPR,151.24,01/05/2020,31/05/2020
New Caledonia,CFP Franc,XPF,135.85,01/05/2020,31/05/2020
New Zealand,Dollar,NZD,2.0726,01/05/2020,31/05/2020
Nicaragua,Gold Cordoba,NIO,42.09,01/05/2020,31/05/2020
Niger Republic,CFA Franc,XOF,746.79,01/05/2020,31/05/2020
Nigeria,Naira,NGN,476.09,01/05/2020,31/05/2020
Norway,Norwegian Krone,NOK,13.28,01/05/2020,31/05/2020
Oman,Rial,OMR,0.4748,01/05/2020,31/05/2020
Pakistan,Rupee,PKR,197.63,01/05/2020,31/05/2020
Panama,Balboa,PAB,1.2327,01/05/2020,31/05/2020
Papua New Guinea,Kina,PGK,4.2397,01/05/2020,31/05/2020
Paraguay,Guarani,PYG,8004.8,01/05/2020,31/05/2020
Peru,New Sol,PEN,4.1542,01/05/2020,31/05/2020
Philippines,Peso,PHP,62.59,01/05/2020,31/05/2020
Poland,Zloty,PLN,5.1687,01/05/2020,31/05/2020
Qatar,Riyal,QAR,4.4882,01/05/2020,31/05/2020
Romania,New Leu,RON,5.5105,01/05/2020,31/05/2020
Russia,Rouble,RUB,93.79,01/05/2020,31/05/2020
Rwanda,Franc,RWF,1158.36,01/05/2020,31/05/2020
Saotome & Principe,Dobra,STD,28043,01/05/2020,31/05/2020
Saudi Arabia,Riyal,SAR,4.6288,01/05/2020,31/05/2020
Senegal,CFA Franc,XOF,746.79,01/05/2020,31/05/2020
Serbia,Dinar,RSD,133.93,01/05/2020,31/05/2020
Seychelles,Rupee,SCR,21.81,01/05/2020,31/05/2020
Sierra Leone,Leone,SLL,12142.06,01/05/2020,31/05/2020
Singapore,Dollar,SGD,1.76,01/05/2020,31/05/2020
Soloman Islands,Dollar,SBD,10.18,01/05/2020,31/05/2020
Somali Republic,Schilling,SOS,714.96,01/05/2020,31/05/2020
South Africa,Rand,ZAR,23.3482,01/05/2020,31/05/2020
South Korea,Won,KRW,1518.86,01/05/2020,31/05/2020
Sri Lanka,Rupee,LKR,238.52,01/05/2020,31/05/2020
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.3283,01/05/2020,31/05/2020
St Lucia,E Caribbean Dollar,XCD,3.3283,01/05/2020,31/05/2020
St Vincent,E Caribbean Dollar,XCD,3.3283,01/05/2020,31/05/2020
Sudan Republic,Pound,SDG,68.16,01/05/2020,31/05/2020
Surinam,Dollar,SRD,9.1934,01/05/2020,31/05/2020
Swaziland,Lilangeni,SZL,23.34,01/05/2020,31/05/2020
Sweden,Krona,SEK,12.43,01/05/2020,31/05/2020
