Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Malaysia,Ringgit,MYR,5.8534,01/06/2021,30/06/2021
Maldive Islands,Rufiyaa,MVR,21.92,01/06/2021,30/06/2021
Mali Republic,CFA Franc,XOF,759.59,01/06/2021,30/06/2021
Mauritania,Ouguiya,MRU,50.54,01/06/2021,30/06/2021
Mauritius,Rupee,MUR,57,01/06/2021,30/06/2021
Mexico,Mexican Peso,MXN,28.01,01/06/2021,30/06/2021
Moldova,Leu,MDL,25.13,01/06/2021,30/06/2021
Mongolia,Tugrik,MNT,4044.19,01/06/2021,30/06/2021
Montserrat,E Caribbean Dollar,XCD,3.8193,01/06/2021,30/06/2021
Morocco,Dirham,MAD,12.46,01/06/2021,30/06/2021
Mozambique,Metical,MZN,83.79,01/06/2021,30/06/2021
Myanmar,Kyat,MMK,2328.92,01/06/2021,30/06/2021
Nepal,Rupee,NPR,165.61,01/06/2021,30/06/2021
New Caledonia,CFP Franc,XPF,138.18,01/06/2021,30/06/2021
New Zealand,Dollar,NZD,1.9697,01/06/2021,30/06/2021
Nicaragua,Gold Cordoba,NIO,49.63,01/06/2021,30/06/2021
Niger Republic,CFA Franc,XOF,759.59,01/06/2021,30/06/2021
Nigeria,Naira,NGN,582.43,01/06/2021,30/06/2021
Norway,Norwegian Krone,NOK,11.74,01/06/2021,30/06/2021
Oman,Rial,OMR,0.5446,01/06/2021,30/06/2021
Pakistan,Rupee,PKR,216.6,01/06/2021,30/06/2021
Panama,Balboa,PAB,1.4145,01/06/2021,30/06/2021
Papua New Guinea,Kina,PGK,4.9668,01/06/2021,30/06/2021
Paraguay,Guarani,PYG,9483.83,01/06/2021,30/06/2021
Peru,New Sol,PEN,5.3014,01/06/2021,30/06/2021
Philippines,Peso,PHP,67.72,01/06/2021,30/06/2021
Poland,Zloty,PLN,5.2374,01/06/2021,30/06/2021
Qatar,Riyal,QAR,5.1514,01/06/2021,30/06/2021
Romania,New Leu,RON,5.7064,01/06/2021,30/06/2021
Russia,Rouble,RUB,104.33,01/06/2021,30/06/2021
Rwanda,Franc,RWF,1402.92,01/06/2021,30/06/2021
Saotome & Principe,Dobra,STD,28927.5,01/06/2021,30/06/2021
Saudi Arabia,Riyal,SAR,5.305,01/06/2021,30/06/2021
Senegal,CFA Franc,XOF,759.59,01/06/2021,30/06/2021
Serbia,Dinar,RSD,136.15,01/06/2021,30/06/2021
Seychelles,Rupee,SCR,22.85,01/06/2021,30/06/2021
Sierra Leone,Leone,SLL,14521.6,01/06/2021,30/06/2021
Singapore,Dollar,SGD,1.8847,01/06/2021,30/06/2021
