Country/Territories,CurrencyName,Currency Code,Currency units per £1 ,Start Date,End Date
Malaysia,Ringgit,MYR,5.3891,01/03/2020,31/03/2020
Maldive Islands,Rufiyaa,MVR,19.91,01/03/2020,31/03/2020
Mali Republic,CFA Franc,XOF,787.18,01/03/2020,31/03/2020
Mauritania,Ouguiya,MRU,48.35,01/03/2020,31/03/2020
Mauritius,Rupee,MUR,48.5,01/03/2020,31/03/2020
Mexico,Mexican Peso,MXN,24.09,01/03/2020,31/03/2020
Moldova,Leu,MDL,22.96,01/03/2020,31/03/2020
Mongolia,Tugrik,MNT,3572.67,01/03/2020,31/03/2020
Montserrat,E Caribbean Dollar,XCD,3.4969,01/03/2020,31/03/2020
Morocco,Dirham,MAD,12.61,01/03/2020,31/03/2020
Mozambique,Metical,MZN,83.92,01/03/2020,31/03/2020
Myanmar,Kyat,MMK,1878.99,01/03/2020,31/03/2020
Nepal,Rupee,NPR,148.27,01/03/2020,31/03/2020
New Caledonia,CFP Franc,XPF,143.2,01/03/2020,31/03/2020
New Zealand,Dollar,NZD,2.0305,01/03/2020,31/03/2020
Nicaragua,Gold Cordoba,NIO,44,01/03/2020,31/03/2020
Niger Republic,CFA Franc,XOF,787.18,01/03/2020,31/03/2020
Nigeria,Naira,NGN,473.37,01/03/2020,31/03/2020
Norway,Norwegian Krone,NOK,12.01,01/03/2020,31/03/2020
Oman,Rial,OMR,0.4987,01/03/2020,31/03/2020
Pakistan,Rupee,PKR,199.73,01/03/2020,31/03/2020
Panama,Balboa,PAB,1.2952,01/03/2020,31/03/2020
Papua New Guinea,Kina,PGK,4.4157,01/03/2020,31/03/2020
Paraguay,Guarani,PYG,8461.81,01/03/2020,31/03/2020
Peru,New Sol,PEN,4.3834,01/03/2020,31/03/2020
Philippines,Peso,PHP,65.46,01/03/2020,31/03/2020
Poland,Zloty,PLN,5.1298,01/03/2020,31/03/2020
Qatar,Riyal,QAR,4.7156,01/03/2020,31/03/2020
Romania,New Leu,RON,5.7358,01/03/2020,31/03/2020
Russia,Rouble,RUB,82.41,01/03/2020,31/03/2020
Rwanda,Franc,RWF,1221.97,01/03/2020,31/03/2020
Saotome & Principe,Dobra,STD,29594.2,01/03/2020,31/03/2020
Saudi Arabia,Riyal,SAR,4.8576,01/03/2020,31/03/2020
Senegal,CFA Franc,XOF,787.18,01/03/2020,31/03/2020
Serbia,Dinar,RSD,141.06,01/03/2020,31/03/2020
Seychelles,Rupee,SCR,18.06,01/03/2020,31/03/2020
Sierra Leone,Leone,SLL,12692.49,01/03/2020,31/03/2020
Singapore,Dollar,SGD,1.8063,01/03/2020,31/03/2020
Soloman Islands,Dollar,SBD,10.66,01/03/2020,31/03/2020
Somali Republic,Schilling,SOS,758.31,01/03/2020,31/03/2020
South Africa,Rand,ZAR,19.41,01/03/2020,31/03/2020
South Korea,Won,KRW,1540.38,01/03/2020,31/03/2020
Sri Lanka,Rupee,LKR,235.71,01/03/2020,31/03/2020
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.4969,01/03/2020,31/03/2020
St Lucia,E Caribbean Dollar,XCD,3.4969,01/03/2020,31/03/2020
St Vincent,E Caribbean Dollar,XCD,3.4969,01/03/2020,31/03/2020
Sudan Republic,Pound,SDG,68.31,01/03/2020,31/03/2020
Surinam,Dollar,SRD,9.6592,01/03/2020,31/03/2020
Swaziland,Lilangeni,SZL,19.41,01/03/2020,31/03/2020
Sweden,Krona,SEK,12.68,01/03/2020,31/03/2020
Switzerland,Franc,CHF,1.2737,01/03/2020,31/03/2020
Taiwan,Dollar,TWD,39.02,01/03/2020,31/03/2020
Tanzania,Schilling,TZS,2991.8,01/03/2020,31/03/2020
Thailand,Baht,THB,40.38,01/03/2020,31/03/2020
Togo Republic,CFA Franc,XOF,787.18,01/03/2020,31/03/2020
Tonga Islands,Pa'anga (AUS),TOP,1.9407,01/03/2020,31/03/2020
Trinidad/Tobago,Dollar,TTD,8.7331,01/03/2020,31/03/2020
Tunisia,Dinar,TND,3.7223,01/03/2020,31/03/2020
Turkey,Turkish  Lira,TRY,7.8804,01/03/2020,31/03/2020
Turkmenistan,New Manat,TMT,4.533,01/03/2020,31/03/2020
UAE,Dirham,AED,4.7573,01/03/2020,31/03/2020
Uganda,Schilling,UGX,4751.91,01/03/2020,31/03/2020
Ukraine,Hryvnia,UAH,31.71,01/03/2020,31/03/2020
Uruguay,Peso,UYU,49.28,01/03/2020,31/03/2020
USA,Dollar,USD,1.2952,01/03/2020,31/03/2020
Uzbekistan,Sum,UZS,12340.84,01/03/2020,31/03/2020
Vanuatu,Vatu,VUV,153.37,01/03/2020,31/03/2020
Venezuela,Bolivar Fuerte,VEF,323207,01/03/2020,31/03/2020
Vietnam,Dong,VND,30090.3,01/03/2020,31/03/2020
Wallis & Futuna Islands,CFP Franc,XPF,143.2,01/03/2020,31/03/2020
Western Samoa,Tala,WST,3.4579,01/03/2020,31/03/2020
Yemen (Rep of),Rial,YER,323.82,01/03/2020,31/03/2020
Zambia,Kwacha,ZMW,19,01/03/2020,31/03/2020
Zimbabwe,Dollar,ZWL,468.71,01/03/2020,31/03/2020
