Country/Territories,Currency,Currency Code,Currency units per £1,Start Date,End Date
Malaysia,Ringgit,MYR,5.4581,01/04/2023,30/04/2023
Maldive Islands,Rufiyaa,MVR,18.8358,01/04/2023,30/04/2023
Mali Republic,CFA Franc,XOF,743.4607,01/04/2023,30/04/2023
Mauritania,Ouguiya,MRU,43.70161,01/04/2023,30/04/2023
Mauritius,Rupee,MUR,57.2414,01/04/2023,30/04/2023
Mexico,Mexican Peso,MXN,22.6654,01/04/2023,30/04/2023
Moldova,Leu,MDL,22.6905,01/04/2023,30/04/2023
Mongolia,Tugrik,MNT,4316.9561,01/04/2023,30/04/2023
Montserrat,E Caribbean Dollar,XCD,3.3024,01/04/2023,30/04/2023
Morocco,Dirham,MAD,12.577,01/04/2023,30/04/2023
Mozambique,Metical,MZN,78.1382,01/04/2023,30/04/2023
Myanmar,Kyat,MMK,2568.5823,01/04/2023,30/04/2023
Nepal,Rupee,NPR,161.7755,01/04/2023,30/04/2023
New Caledonia,CFP Franc,XPF,135.2504,01/04/2023,30/04/2023
New Zealand,Dollar,NZD,1.9666,01/04/2023,30/04/2023
Nicaragua,Gold Cordoba,NIO,44.7657,01/04/2023,30/04/2023
Niger Republic,CFA Franc,XOF,743.4607,01/04/2023,30/04/2023
Nigeria,Naira,NGN,563.5466,01/04/2023,30/04/2023
Norway,Norwegian Krone,NOK,12.8255,01/04/2023,30/04/2023
Oman,Rial,OMR,0.4709,01/04/2023,30/04/2023
Pakistan,Rupee,PKR,346.1393,01/04/2023,30/04/2023
Panama,Balboa,PAB,1.2231,01/04/2023,30/04/2023
Papua New Guinea,Kina,PGK,4.3116,01/04/2023,30/04/2023
Paraguay,Guarani,PYG,8786.2576,01/04/2023,30/04/2023
Peru,New Sol,PEN,4.6109,01/04/2023,30/04/2023
Philippines,Peso,PHP,66.696,01/04/2023,30/04/2023
Poland,Zloty,PLN,5.3162,01/04/2023,30/04/2023
Qatar,Riyal,QAR,4.4542,01/04/2023,30/04/2023
Romania,New Leu,RON,5.5766,01/04/2023,30/04/2023
Russia,Rouble,RUB,94.2465,01/04/2023,30/04/2023
Rwanda,Franc,RWF,1340.2196,01/04/2023,30/04/2023
Saotome & Principe,Dobra,STD,27754.1,01/04/2023,30/04/2023
Saudi Arabia,Riyal,SAR,4.5942,01/04/2023,30/04/2023
Senegal,CFA Franc,XOF,743.4607,01/04/2023,30/04/2023
Serbia,Dinar,RSD,132.9823,01/04/2023,30/04/2023
Seychelles,Rupee,SCR,17.0944,01/04/2023,30/04/2023
Sierra Leone,Leone,SLE,26.2678,01/04/2023,30/04/2023
Singapore,Dollar,SGD,1.6306,01/04/2023,30/04/2023
Soloman Islands,Dollar,SBD,10.0584,01/04/2023,30/04/2023
Somali Republic,Schilling,SOS,695.3578,01/04/2023,30/04/2023
South Africa,Rand,ZAR,22.4165,01/04/2023,30/04/2023
South Korea,Won,KRW,1599.5181,01/04/2023,30/04/2023
Sri Lanka,Rupee,LKR,392.44,01/04/2023,30/04/2023
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.3024,01/04/2023,30/04/2023
St Lucia,E Caribbean Dollar,XCD,3.3024,01/04/2023,30/04/2023
St Vincent,E Caribbean Dollar,XCD,3.3024,01/04/2023,30/04/2023
Sudan Republic,Pound,SDG,725.914,01/04/2023,30/04/2023
Surinam,Dollar,SRD,42.3727,01/04/2023,30/04/2023
Swaziland,Lilangeni,SZL,22.4165,01/04/2023,30/04/2023
Sweden,Krona,SEK,12.6578,01/04/2023,30/04/2023
Switzerland,Franc,CHF,1.1297,01/04/2023,30/04/2023
Taiwan,Dollar,TWD,37.3256,01/04/2023,30/04/2023
Tanzania,Schilling,TZS,2862.0705,01/04/2023,30/04/2023
Thailand,Baht,THB,42.1116,01/04/2023,30/04/2023
Togo Republic,CFA Franc,XOF,743.4607,01/04/2023,30/04/2023
Tonga Islands,Pa'anga (AUS),TOP,1.8295,01/04/2023,30/04/2023
Trinidad/Tobago,Dollar,TTD,8.2625,01/04/2023,30/04/2023
Tunisia,Dinar,TND,3.7628,01/04/2023,30/04/2023
Turkey,Turkish  Lira,TRY,23.2877,01/04/2023,30/04/2023
Turkmenistan,New Manat,TMT,4.2809,01/04/2023,30/04/2023
UAE,Dirham,AED,4.4918,01/04/2023,30/04/2023
Uganda,Schilling,UGX,4611.1147,01/04/2023,30/04/2023
Ukraine,Hryvnia,UAH,45.1659,01/04/2023,30/04/2023
