Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,5.1165,01/05/2021,31/05/2021
Albania,Lek,ALL,142.7,01/05/2021,31/05/2021
Algeria,Dinar,DZD,184.83,01/05/2021,31/05/2021
Angola,Readj Kwanza,AOA,918,01/05/2021,31/05/2021
Antigua,E Caribbean Dollar,XCD,3.761,01/05/2021,31/05/2021
Argentina,Peso,ARS,129.57,01/05/2021,31/05/2021
Armenia,Dram,AMD,727.44,01/05/2021,31/05/2021
Aruba,Florin,AWG,2.4934,01/05/2021,31/05/2021
Australia,Dollar,AUD,1.7972,01/05/2021,31/05/2021
Azerbaijan,New Manat,AZN,2.3666,01/05/2021,31/05/2021
Bahamas,Dollar,BSD,1.393,01/05/2021,31/05/2021
Bahrain,Dinar,BHD,0.5251,01/05/2021,31/05/2021
Bangladesh,Taka,BDT,117.91,01/05/2021,31/05/2021
Barbados,Dollar,BBD,2.7859,01/05/2021,31/05/2021
Belarus,Rouble,BYN,3.6098,01/05/2021,31/05/2021
Belize,Dollar,BZD,2.7859,01/05/2021,31/05/2021
Benin,CFA Franc,XOF,759.62,01/05/2021,31/05/2021
Bermuda,Dollar (US),BMD,1.393,01/05/2021,31/05/2021
Bhutan,Ngultrum,BTN,104.31,01/05/2021,31/05/2021
Bolivia,Boliviano,BOB,9.6253,01/05/2021,31/05/2021
Bosnia- Herzegovinia,Marka,BAM,2.2649,01/05/2021,31/05/2021
Botswana,Pula,BWP,15.03,01/05/2021,31/05/2021
Brazil,Real,BRL,7.7311,01/05/2021,31/05/2021
Brunei,Dollar,BND,1.8504,01/05/2021,31/05/2021
Bulgaria,Lev,BGN,2.265,01/05/2021,31/05/2021
Burkina Faso,CFA Franc,XOF,759.62,01/05/2021,31/05/2021
Burundi,Franc,BIF,2727.91,01/05/2021,31/05/2021
Cambodia,Riel,KHR,5645.63,01/05/2021,31/05/2021
Cameroon Republic,CFA Franc,XAF,759.62,01/05/2021,31/05/2021
Canada,Dollar,CAD,1.739,01/05/2021,31/05/2021
Cape Verde Islands,Escudo,CVE,128.43,01/05/2021,31/05/2021
Cayman Islands,Dollar,KYD,1.1422,01/05/2021,31/05/2021
Central African Republic,CFA Franc,XAF,759.62,01/05/2021,31/05/2021
Chad,CFA Franc,XAF,759.62,01/05/2021,31/05/2021
Chile,Peso,CLP,971.63,01/05/2021,31/05/2021
China,Yuan,CNY,9.0475,01/05/2021,31/05/2021
Colombia,Peso,COP,5075.29,01/05/2021,31/05/2021
Comoros,Franc,KMF,569.71,01/05/2021,31/05/2021
Congo (Brazaville),CFA Franc,XAF,759.62,01/05/2021,31/05/2021
Congo (DemRep),Congo Fr,CDF,2754.28,01/05/2021,31/05/2021
Costa Rica,Colon,CRC,854.25,01/05/2021,31/05/2021
Cote d'Ivoire,CFA Franc,XOF,759.62,01/05/2021,31/05/2021
Croatia,Kuna,HRK,8.7727,01/05/2021,31/05/2021
Cuba,Peso,CUP,1.393,01/05/2021,31/05/2021
Czech Republic,Koruna,CZK,29.94,01/05/2021,31/05/2021
Denmark,Krone,DKK,8.6114,01/05/2021,31/05/2021
Djibouti,Franc,DJF,247.55,01/05/2021,31/05/2021
Dominica,E Caribbean Dollar,XCD,3.761,01/05/2021,31/05/2021
Dominican Republic,Peso,DOP,79.24,01/05/2021,31/05/2021
Dubai,Dirham,AED,5.1165,01/05/2021,31/05/2021
Ecuador,Dollar,ECS,1.393,01/05/2021,31/05/2021
Egypt,Pound,EGP,21.84,01/05/2021,31/05/2021
El Salvador,Colon,SVC,12.18,01/05/2021,31/05/2021
Equatorial Guinea,CFA Franc,XAF,759.62,01/05/2021,31/05/2021
Eritrea,Nakfa,ERN,20.89,01/05/2021,31/05/2021
Ethiopia,Birr,ETB,56.29,01/05/2021,31/05/2021
Eurozone,Euro,EUR,1.158,01/05/2021,31/05/2021
Fiji Islands,Dollar,FJD,2.8234,01/05/2021,31/05/2021
Fr. Polynesia,CFP Franc,XPF,138.19,01/05/2021,31/05/2021
Gabon,CFA Franc,XAF,759.62,01/05/2021,31/05/2021
Gambia,Dalasi,GMD,71.17,01/05/2021,31/05/2021
Georgia,Lari,GEL,4.8126,01/05/2021,31/05/2021
Ghana,Cedi,GHS,8.0513,01/05/2021,31/05/2021
Grenada,E Caribbean Dollar,XCD,3.761,01/05/2021,31/05/2021
Guatemala,Quetzal,GTQ,10.74,01/05/2021,31/05/2021
Guinea Bissau,CFA Franc,XOF,759.62,01/05/2021,31/05/2021
Guinea Republic,Franc,GNF,13832.02,01/05/2021,31/05/2021
Guyana,Dollar,GYD,291.42,01/05/2021,31/05/2021
Haiti,Gourde,HTG,115.44,01/05/2021,31/05/2021
Honduras,Lempira,HNL,33.46,01/05/2021,31/05/2021
Hong Kong,Dollar,HKD,10.81,01/05/2021,31/05/2021
Hungary,Forint,HUF,420.29,01/05/2021,31/05/2021
Iceland,Krona,ISK,174.86,01/05/2021,31/05/2021
India,Rupee,INR,104.3,01/05/2021,31/05/2021
Indonesia,Rupiah,IDR,20239.59,01/05/2021,31/05/2021
Iraq,Dinar,IQD,2035.79,01/05/2021,31/05/2021
Israel,Shekel,ILS,4.5504,01/05/2021,31/05/2021
Jamaica,Dollar,JMD,210.43,01/05/2021,31/05/2021
Japan,Yen,JPY,150.66,01/05/2021,31/05/2021
Jordan,Dinar,JOD,0.9876,01/05/2021,31/05/2021
Kazakhstan,Tenge,KZT,601.89,01/05/2021,31/05/2021
Kenya,Schilling,KES,151.06,01/05/2021,31/05/2021
Kuwait,Dinar,KWD,0.4194,01/05/2021,31/05/2021
Kyrgyz Republic,Som,KGS,118.12,01/05/2021,31/05/2021
Lao People's Dem Rep,Kip,LAK,13124.39,01/05/2021,31/05/2021
Lebanon,Pound,LBP,2113.66,01/05/2021,31/05/2021
Lesotho,Loti,LSL,19.83,01/05/2021,31/05/2021
Liberia,Dollar (US),LRD,1.393,01/05/2021,31/05/2021
Libya,Dinar,LYD,6.2474,01/05/2021,31/05/2021
Macao,Pataca,MOP,11.13,01/05/2021,31/05/2021
Macedonia,Denar,MKD,71.3,01/05/2021,31/05/2021
Madagascar,Malagasy Ariary,MGA,5251.42,01/05/2021,31/05/2021
Malawi,Kwacha,MWK,1099.13,01/05/2021,31/05/2021
Malaysia,Ringgit,MYR,5.7404,01/05/2021,31/05/2021
Maldive Islands,Rufiyaa,MVR,21.55,01/05/2021,31/05/2021
Mali Republic,CFA Franc,XOF,759.62,01/05/2021,31/05/2021
Mauritania,Ouguiya,MRU,49.77,01/05/2021,31/05/2021
Mauritius,Rupee,MUR,56.69,01/05/2021,31/05/2021
Mexico,Mexican Peso,MXN,27.69,01/05/2021,31/05/2021
Moldova,Leu,MDL,25.07,01/05/2021,31/05/2021
Mongolia,Tugrik,MNT,3862.94,01/05/2021,31/05/2021
Montserrat,E Caribbean Dollar,XCD,3.761,01/05/2021,31/05/2021
Morocco,Dirham,MAD,12.42,01/05/2021,31/05/2021
Mozambique,Metical,MZN,77.37,01/05/2021,31/05/2021
Myanmar,Kyat,MMK,1964.11,01/05/2021,31/05/2021
Nepal,Rupee,NPR,166.9,01/05/2021,31/05/2021
New Caledonia,CFP Franc,XPF,138.19,01/05/2021,31/05/2021
New Zealand,Dollar,NZD,1.9318,01/05/2021,31/05/2021
Nicaragua,Gold Cordoba,NIO,48.8,01/05/2021,31/05/2021
Niger Republic,CFA Franc,XOF,759.62,01/05/2021,31/05/2021
Nigeria,Naira,NGN,569.36,01/05/2021,31/05/2021
Norway,Norwegian Krone,NOK,11.62,01/05/2021,31/05/2021
Oman,Rial,OMR,0.5363,01/05/2021,31/05/2021
Pakistan,Rupee,PKR,213.05,01/05/2021,31/05/2021
Panama,Balboa,PAB,1.393,01/05/2021,31/05/2021
Papua New Guinea,Kina,PGK,4.8927,01/05/2021,31/05/2021
Paraguay,Guarani,PYG,8985.59,01/05/2021,31/05/2021
Peru,New Sol,PEN,5.1563,01/05/2021,31/05/2021
Philippines,Peso,PHP,67.47,01/05/2021,31/05/2021
Poland,Zloty,PLN,5.2778,01/05/2021,31/05/2021
Qatar,Riyal,QAR,5.0717,01/05/2021,31/05/2021
Romania,New Leu,RON,5.7039,01/05/2021,31/05/2021
Russia,Rouble,RUB,106.67,01/05/2021,31/05/2021
Rwanda,Franc,RWF,1378.71,01/05/2021,31/05/2021
Saotome & Principe,Dobra,STD,28625.2,01/05/2021,31/05/2021
Saudi Arabia,Riyal,SAR,5.2238,01/05/2021,31/05/2021
Senegal,CFA Franc,XOF,759.62,01/05/2021,31/05/2021
Serbia,Dinar,RSD,136.11,01/05/2021,31/05/2021
Seychelles,Rupee,SCR,21.73,01/05/2021,31/05/2021
Sierra Leone,Leone,SLL,14215.08,01/05/2021,31/05/2021
Singapore,Dollar,SGD,1.8504,01/05/2021,31/05/2021
Soloman Islands,Dollar,SBD,11.1,01/05/2021,31/05/2021
Somali Republic,Schilling,SOS,816.26,01/05/2021,31/05/2021
South Africa,Rand,ZAR,19.83,01/05/2021,31/05/2021
South Korea,Won,KRW,1558.08,01/05/2021,31/05/2021
Sri Lanka,Rupee,LKR,267.44,01/05/2021,31/05/2021
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.761,01/05/2021,31/05/2021
St Lucia,E Caribbean Dollar,XCD,3.761,01/05/2021,31/05/2021
St Vincent,E Caribbean Dollar,XCD,3.761,01/05/2021,31/05/2021
Sudan Republic,Pound,SDG,531.41,01/05/2021,31/05/2021
Surinam,Dollar,SRD,19.71,01/05/2021,31/05/2021
Swaziland,Lilangeni,SZL,19.83,01/05/2021,31/05/2021
Sweden,Krona,SEK,11.72,01/05/2021,31/05/2021
Switzerland,Franc,CHF,1.2781,01/05/2021,31/05/2021
Taiwan,Dollar,TWD,39.19,01/05/2021,31/05/2021
Tanzania,Schilling,TZS,3230.25,01/05/2021,31/05/2021
Thailand,Baht,THB,43.66,01/05/2021,31/05/2021
Togo Republic,CFA Franc,XOF,759.62,01/05/2021,31/05/2021
Tonga Islands,Pa'anga (AUS),TOP,1.7972,01/05/2021,31/05/2021
Trinidad/Tobago,Dollar,TTD,9.4202,01/05/2021,31/05/2021
Tunisia,Dinar,TND,3.8396,01/05/2021,31/05/2021
Turkey,Turkish  Lira,TRY,11.39,01/05/2021,31/05/2021
Turkmenistan,New Manat,TMT,4.8893,01/05/2021,31/05/2021
UAE,Dirham,AED,5.1165,01/05/2021,31/05/2021
Uganda,Schilling,UGX,5032.73,01/05/2021,31/05/2021
Ukraine,Hryvnia,UAH,39.14,01/05/2021,31/05/2021
Uruguay,Peso,UYU,61.54,01/05/2021,31/05/2021
USA,Dollar,USD,1.393,01/05/2021,31/05/2021
Uzbekistan,Sum,UZS,14698.44,01/05/2021,31/05/2021
Vanuatu,Vatu,VUV,151.58,01/05/2021,31/05/2021
Venezuela,Bolivar Fuerte,VEF,337216.34,01/05/2021,31/05/2021
Vietnam,Dong,VND,32142.45,01/05/2021,31/05/2021
Wallis & Futuna Islands,CFP Franc,XPF,138.19,01/05/2021,31/05/2021
Western Samoa,Tala,WST,3.5153,01/05/2021,31/05/2021
Yemen (Rep of),Rial,YER,351.17,01/05/2021,31/05/2021
