AMD,2023-06-01,2023-06-30,477.2351
AOA,2020-01-01,2020-01-31,598.72
AOA,2020-02-01,2020-02-29,648.1
AOA,2020-03-01,2020-03-31,639.75
AOA,2020-04-01,2020-04-30,595.59
AOA,2020-05-01,2020-05-31,692.71
AOA,2020-06-01,2020-06-30,703.74
AOA,2020-07-01,2020-07-31,750.91
AOA,2020-08-01,2020-08-31,703.46
AOA,2020-09-01,2020-09-30,760.9
AOA,2020-10-01,2020-10-31,792.58
AOA,2020-11-01,2020-11-30,860.99
AOA,2020-12-01,2020-12-31,884.19
AOA,2021-01-01,2021-01-31,885.28
AOA,2021-02-01,2021-02-28,886.73
AOA,2021-03-01,2021-03-31,914.72
AOA,2021-04-01,2021-04-30,859.16
AOA,2021-05-01,2021-05-31,918
AOA,2021-06-01,2021-06-30,924.96
AOA,2021-07-01,2021-07-31,910.77
AOA,2021-08-01,2021-08-31,885.42
AOA,2021-09-01,2021-09-30,889.99
AOA,2021-10-01,2021-10-31,844.97
AOA,2021-11-01,2021-11-30,833.27
AOA,2021-12-01,2021-12-31,809.07
AOA,2022-01-01,2022-01-31,754.6354
AOA,2022-02-01,2022-02-28,737.1854
AOA,2022-03-01,2022-03-31,715.2615
AOA,2022-04-01,2022-04-30,601.8973
AOA,2022-05-01,2022-05-31,537.5377
AOA,2022-06-01,2022-06-30,512.6359
AOA,2022-07-01,2022-07-31,525.5967
AOA,2022-08-01,2022-08-31,516.2522
AOA,2022-09-01,2022-09-30,505.349
AOA,2022-10-01,2022-10-31,484.4193
AOA,2022-11-01,2022-11-30,504.7063
AOA,2022-12-01,2022-12-31,618.7788
AOA,2023-01-01,2023-01-31,634.258
AOA,2023-02-01,2023-02-28,628.8958
AOA,2023-03-01,2023-03-31,613.4255
AOA,2023-04-01,2023-04-30,625.3134
AOA,2023-05-01,2023-05-31,637.5668
AOA,2023-06-01,2023-06-30,673.4018
ARS,2020-01-01,2020-01-31,78.18
ARS,2020-02-01,2020-02-29,78.99
ARS,2020-03-01,2020-03-31,79.94
ARS,2020-04-01,2020-04-30,74.47
ARS,2020-05-01,2020-05-31,81.64
ARS,2020-06-01,2020-06-30,83.42
ARS,2020-07-01,2020-07-31,87.2755
ARS,2020-08-01,2020-08-31,91.3814
ARS,2020-09-01,2020-09-30,96.869
ARS,2020-10-01,2020-10-31,96.6351
ARS,2020-11-01,2020-11-30,102.27
ARS,2020-12-01,2020-12-31,106.63
ARS,2021-01-01,2021-01-31,111.52
ARS,2021-02-01,2021-02-28,117.67
ARS,2021-03-01,2021-03-31,125.66
ARS,2021-04-01,2021-04-30,125.48
ARS,2021-05-01,2021-05-31,129.57
ARS,2021-06-01,2021-06-30,133.25
ARS,2021-07-01,2021-07-31,133.43
ARS,2021-08-01,2021-08-31,131.77
ARS,2021-09-01,2021-09-30,133.81
ARS,2021-10-01,2021-10-31,134.42
ARS,2021-11-01,2021-11-30,137.23
ARS,2021-12-01,2021-12-31,135.15
ARS,2022-01-01,2022-01-31,134.5667
ARS,2022-02-01,2022-02-28,142.0747
ARS,2022-03-01,2022-03-31,144.7191
ARS,2022-04-01,2022-04-30,145.5634
ARS,2022-05-01,2022-05-31,148.6568
ARS,2022-06-01,2022-06-30,147.1954
ARS,2022-07-01,2022-07-31,152.4655
ARS,2022-08-01,2022-08-31,155.2281
ARS,2022-09-01,2022-09-30,162.1382
ARS,2022-10-01,2022-10-31,164.1983
ARS,2022-11-01,2022-11-30,172.4431
ARS,2022-12-01,2022-12-31,198.887
ARS,2023-01-01,2023-01-31,213.5512
ARS,2023-02-01,2023-02-28,226.5264
ARS,2023-03-01,2023-03-31,230.8898
ARS,2023-04-01,2023-04-30,251.2163
ARS,2023-05-01,2023-05-31,270.7774
ARS,2023-06-01,2023-06-30,291.3043
AUD,2020-01-01,2020-01-31,1.905
AUD,2020-02-01,2020-02-29,1.9213
AUD,2020-03-01,2020-03-31,1.9407
AUD,2020-04-01,2020-04-30,2.0209
AUD,2020-05-01,2020-05-31,1.9526
AUD,2020-06-01,2020-06-30,1.8595
AUD,2020-07-01,2020-07-31,1.8136
AUD,2020-08-01,2020-08-31,1.7825
AUD,2020-09-01,2020-09-30,1.8216
AUD,2020-10-01,2020-10-31,1.7962
AUD,2020-11-01,2020-11-30,1.8478
AUD,2020-12-01,2020-12-31,1.816
AUD,2021-01-01,2021-01-31,1.7842
AUD,2021-02-01,2021-02-28,1.7604
AUD,2021-03-01,2021-03-31,1.7778
AUD,2021-04-01,2021-04-30,1.8001
AUD,2021-05-01,2021-05-31,1.7972
AUD,2021-06-01,2021-06-30,1.8263
AUD,2021-07-01,2021-07-31,1.8408
AUD,2021-08-01,2021-08-31,1.8626
AUD,2021-09-01,2021-09-30,1.9009
AUD,2021-10-01,2021-10-31,1.8802
AUD,2021-11-01,2021-11-30,1.8394
AUD,2021-12-01,2021-12-31,1.8507
AUD,2022-01-01,2022-01-31,1.8552
AUD,2022-02-01,2022-02-28,1.8874
AUD,2022-03-01,2022-03-31,1.894
AUD,2022-04-01,2022-04-30,1.7619
AUD,2022-05-01,2022-05-31,1.7503
AUD,2022-06-01,2022-06-30,1.7806
AUD,2022-07-01,2022-07-31,1.7728
AUD,2022-08-01,2022-08-31,1.7375
AUD,2022-09-01,2022-09-30,1.7099
AUD,2022-10-01,2022-10-31,1.7015
AUD,2022-11-01,2022-11-30,1.7896
AUD,2022-12-01,2022-12-31,1.7951
AUD,2023-01-01,2023-01-31,1.807
AUD,2023-02-01,2023-02-28,1.7679
AUD,2023-03-01,2023-03-31,1.7446
AUD,2023-04-01,2023-04-30,1.8295
AUD,2023-05-01,2023-05-31,1.852
AUD,2023-06-01,2023-06-30,1.8915
AWG,2020-01-01,2020-01-31,2.3397
AWG,2020-02-01,2020-02-29,2.3521
AWG,2020-03-01,2020-03-31,2.3183
AWG,2020-04-01,2020-04-30,2.1057
AWG,2020-05-01,2020-05-31,2.2065
AWG,2020-06-01,2020-06-30,2.1963
AWG,2020-07-01,2020-07-31,2.2447
AWG,2020-08-01,2020-08-31,2.2789
AWG,2020-09-01,2020-09-30,2.3599
AWG,2020-10-01,2020-10-31,2.2846
AWG,2020-11-01,2020-11-30,2.3561
AWG,2020-12-01,2020-12-31,2.3812
AWG,2021-01-01,2021-01-31,2.4159
AWG,2021-02-01,2021-02-28,2.4401
AWG,2021-03-01,2021-03-31,2.5151
AWG,2021-04-01,2021-04-30,2.4561
AWG,2021-05-01,2021-05-31,2.4934
AWG,2021-06-01,2021-06-30,2.532
AWG,2021-07-01,2021-07-31,2.5005
AWG,2021-08-01,2021-08-31,2.4477
AWG,2021-09-01,2021-09-30,2.4625
AWG,2021-10-01,2021-10-31,2.4426
AWG,2021-11-01,2021-11-30,2.4729
AWG,2021-12-01,2021-12-31,2.4102
AWG,2022-01-01,2022-01-31,2.3656
AWG,2022-02-01,2022-02-28,2.4396
AWG,2022-03-01,2022-03-31,2.4306
AWG,2022-04-01,2022-04-30,2.3649
AWG,2022-05-01,2022-05-31,2.3355
AWG,2022-06-01,2022-06-30,2.2218
AWG,2022-07-01,2022-07-31,2.2033
AWG,2022-08-01,2022-08-31,2.1474
AWG,2022-09-01,2022-09-30,2.116
AWG,2022-10-01,2022-10-31,2.0283
AWG,2022-11-01,2022-11-30,2.0154
AWG,2022-12-01,2022-12-31,2.1597
AWG,2023-01-01,2023-01-31,2.2207
AWG,2023-02-01,2023-02-28,2.2182
AWG,2023-03-01,2023-03-31,2.1484
AWG,2023-04-01,2023-04-30,2.1894
AWG,2023-05-01,2023-05-31,2.2286
AWG,2023-06-01,2023-06-30,2.2134
AZN,2020-01-01,2020-01-31,2.2175
AZN,2020-02-01,2020-02-29,2.2293
AZN,2020-03-01,2020-03-31,2.1972
AZN,2020-04-01,2020-04-30,1.9957
AZN,2020-05-01,2020-05-31,2.0913
AZN,2020-06-01,2020-06-30,2.0816
AZN,2020-07-01,2020-07-31,2.1274
AZN,2020-08-01,2020-08-31,2.1631
AZN,2020-09-01,2020-09-30,2.2399
AZN,2020-10-01,2020-10-31,2.1684
AZN,2020-11-01,2020-11-30,2.2363
AZN,2020-12-01,2020-12-31,2.2602
AZN,2021-01-01,2021-01-31,2.2931
AZN,2021-02-01,2021-02-28,2.316
AZN,2021-03-01,2021-03-31,2.3873
AZN,2021-04-01,2021-04-30,2.3312
AZN,2021-05-01,2021-05-31,2.3666
AZN,2021-06-01,2021-06-30,2.4033
AZN,2021-07-01,2021-07-31,2.3733
AZN,2021-08-01,2021-08-31,2.3233
AZN,2021-09-01,2021-09-30,2.3373
AZN,2021-10-01,2021-10-31,2.3204
AZN,2021-11-01,2021-11-30,2.3472
AZN,2021-12-01,2021-12-31,2.2876
AZN,2022-01-01,2022-01-31,2.2453
AZN,2022-02-01,2022-02-28,2.3156
AZN,2022-03-01,2022-03-31,2.3071
AZN,2022-04-01,2022-04-30,2.2447
AZN,2022-05-01,2022-05-31,2.2168
AZN,2022-06-01,2022-06-30,2.1089
AZN,2022-07-01,2022-07-31,2.0913
AZN,2022-08-01,2022-08-31,2.0373
AZN,2022-09-01,2022-09-30,2.0125
AZN,2022-10-01,2022-10-31,1.9263
AZN,2022-11-01,2022-11-30,1.914
AZN,2022-12-01,2022-12-31,2.0508
AZN,2023-01-01,2023-01-31,2.109
AZN,2023-02-01,2023-02-28,2.1097
AZN,2023-03-01,2023-03-31,2.0404
AZN,2023-04-01,2023-04-30,2.0784
AZN,2023-05-01,2023-05-31,2.1196
AZN,2023-06-01,2023-06-30,2.1021
BAM,2020-01-01,2020-01-31,2.2977
BAM,2020-02-01,2020-02-29,2.2305
BAM,2020-03-01,2020-03-31,2.3471
BAM,2020-04-01,2020-04-30,2.1237
BAM,2020-05-01,2020-05-31,2.2267
BAM,2020-06-01,2020-06-30,2.1831
BAM,2020-07-01,2020-07-31,2.1854
BAM,2020-08-01,2020-08-31,2.1479
BAM,2020-09-01,2020-09-30,2.1668
BAM,2020-10-01,2020-10-31,2.1384
BAM,2020-11-01,2020-11-30,2.1681
BAM,2020-12-01,2020-12-31,2.1908
BAM,2021-01-01,2021-01-31,2.1661
BAM,2021-02-01,2021-02-28,2.2025
BAM,2021-03-01,2021-03-31,2.2642
BAM,2021-04-01,2021-04-30,2.2684
BAM,2021-05-01,2021-05-31,2.2649
BAM,2021-06-01,2021-06-30,2.2648
BAM,2021-07-01,2021-07-31,2.2867
BAM,2021-08-01,2021-08-31,2.2687
BAM,2021-09-01,2021-09-30,2.2974
BAM,2021-10-01,2021-10-31,2.2746
BAM,2021-11-01,2021-11-30,2.3198
BAM,2021-12-01,2021-12-31,2.3288
BAM,2022-01-01,2022-01-31,2.2972
BAM,2022-02-01,2022-02-28,2.3496
BAM,2022-03-01,2022-03-31,2.3369
BAM,2022-04-01,2022-04-30,2.3488
BAM,2022-05-01,2022-05-31,2.3486
BAM,2022-06-01,2022-06-30,2.3093
BAM,2022-07-01,2022-07-31,2.2719
BAM,2022-08-01,2022-08-31,2.2975
BAM,2022-09-01,2022-09-30,2.3138
BAM,2022-10-01,2022-10-31,2.2435
BAM,2022-11-01,2022-11-30,2.2492
BAM,2022-12-01,2022-12-31,2.2746
BAM,2023-01-01,2023-01-31,2.2879
BAM,2023-02-01,2023-02-28,2.2376
BAM,2023-03-01,2023-03-31,2.1988
BAM,2023-04-01,2023-04-30,2.2167
BAM,2023-05-01,2023-05-31,2.222
BAM,2023-06-01,2023-06-30,2.2471
BBD,2020-01-01,2020-01-31,2.6142
BBD,2020-02-01,2020-02-29,2.6281
BBD,2020-03-01,2020-03-31,2.5903
BBD,2020-04-01,2020-04-30,2.3527
BBD,2020-05-01,2020-05-31,2.4654
BBD,2020-06-01,2020-06-30,2.454
BBD,2020-07-01,2020-07-31,2.508
BBD,2020-08-01,2020-08-31,2.5463
BBD,2020-09-01,2020-09-30,2.6368
BBD,2020-10-01,2020-10-31,2.5526
BBD,2020-11-01,2020-11-30,2.6325
BBD,2020-12-01,2020-12-31,2.6606
BBD,2021-01-01,2021-01-31,2.6994
BBD,2021-02-01,2021-02-28,2.7263
BBD,2021-03-01,2021-03-31,2.8102
BBD,2021-04-01,2021-04-30,2.7442
BBD,2021-05-01,2021-05-31,2.7859
BBD,2021-06-01,2021-06-30,2.8291
BBD,2021-07-01,2021-07-31,2.7938
BBD,2021-08-01,2021-08-31,2.7349
BBD,2021-09-01,2021-09-30,2.7514
BBD,2021-10-01,2021-10-31,2.7291
BBD,2021-11-01,2021-11-30,2.763
BBD,2021-12-01,2021-12-31,2.6929
BBD,2022-01-01,2022-01-31,2.6431
BBD,2022-02-01,2022-02-28,2.7258
BBD,2022-03-01,2022-03-31,2.7158
BBD,2022-04-01,2022-04-30,2.6424
BBD,2022-05-01,2022-05-31,2.6095
BBD,2022-06-01,2022-06-30,2.4825
BBD,2022-07-01,2022-07-31,2.4618
BBD,2022-08-01,2022-08-31,2.3993
BBD,2022-09-01,2022-09-30,2.3642
BBD,2022-10-01,2022-10-31,2.2663
BBD,2022-11-01,2022-11-30,2.2518
BBD,2022-12-01,2022-12-31,2.4131
BBD,2023-01-01,2023-01-31,2.4812
BBD,2023-02-01,2023-02-28,2.4784
BBD,2023-03-01,2023-03-31,2.4004
BBD,2023-04-01,2023-04-30,2.4462
BBD,2023-05-01,2023-05-31,2.49
BBD,2023-06-01,2023-06-30,2.4731
BDT,2020-01-01,2020-01-31,111.1
BDT,2020-02-01,2020-02-29,111.75
BDT,2020-03-01,2020-03-31,110.15
BDT,2020-04-01,2020-04-30,99.98
BDT,2020-05-01,2020-05-31,104.71
BDT,2020-06-01,2020-06-30,104.13
BDT,2020-07-01,2020-07-31,106.65
BDT,2020-08-01,2020-08-31,108.02
BDT,2020-09-01,2020-09-30,111.74
BDT,2020-10-01,2020-10-31,108.23
BDT,2020-11-01,2020-11-30,111.55
BDT,2020-12-01,2020-12-31,112.74
BDT,2021-01-01,2021-01-31,114.38
BDT,2021-02-01,2021-02-28,115.52
BDT,2021-03-01,2021-03-31,118.97
BDT,2021-04-01,2021-04-30,116.14
BDT,2021-05-01,2021-05-31,117.91
BDT,2021-06-01,2021-06-30,119.88
