Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.5569,01/01/2023,31/01/2023
Albania,Lek,ALL,133.5447,01/01/2023,31/01/2023
Algeria,Dinar,DZD,170.6642,01/01/2023,31/01/2023
Angola,Readj Kwanza,AOA,634.258,01/01/2023,31/01/2023
Antigua,E Caribbean Dollar,XCD,3.3496,01/01/2023,31/01/2023
Argentina,Peso,ARS,213.5512,01/01/2023,31/01/2023
Armenia,Dram,AMD,488.9586,01/01/2023,31/01/2023
Aruba,Florin,AWG,2.2207,01/01/2023,31/01/2023
Australia,Dollar,AUD,1.807,01/01/2023,31/01/2023
Azerbaijan,New Manat,AZN,2.109,01/01/2023,31/01/2023
Bahamas,Dollar,BSD,1.2406,01/01/2023,31/01/2023
Bahrain,Dinar,BHD,0.4677,01/01/2023,31/01/2023
Bangladesh,Taka,BDT,128.0922,01/01/2023,31/01/2023
Barbados,Dollar,BBD,2.4812,01/01/2023,31/01/2023
Belarus,Rouble,BYN,3.1077,01/01/2023,31/01/2023
Belize,Dollar,BZD,2.4812,01/01/2023,31/01/2023
Benin,CFA Franc,XOF,764.2939,01/01/2023,31/01/2023
Bermuda,Dollar (US),BMD,1.2406,01/01/2023,31/01/2023
Bhutan,Ngultrum,BTN,102.2892,01/01/2023,31/01/2023
Bolivia,Boliviano,BOB,8.5726,01/01/2023,31/01/2023
Bosnia- Herzegovinia,Marka,BAM,2.2879,01/01/2023,31/01/2023
Botswana,Pula,BWP,15.9666,01/01/2023,31/01/2023
Brazil,Real,BRL,6.6052,01/01/2023,31/01/2023
Brunei,Dollar,BND,1.6712,01/01/2023,31/01/2023
Bulgaria,Lev,BGN,2.2787,01/01/2023,31/01/2023
Burkina Faso,CFA Franc,XOF,764.2939,01/01/2023,31/01/2023
Burundi,Franc,BIF,2551.9194,01/01/2023,31/01/2023
Cambodia,Riel,KHR,5102.5163,01/01/2023,31/01/2023
Cameroon Republic,CFA Franc,XAF,764.2939,01/01/2023,31/01/2023
Canada,Dollar,CAD,1.6825,01/01/2023,31/01/2023
Cape Verde Islands,Escudo,CVE,129.3328,01/01/2023,31/01/2023
Cayman Islands,Dollar,KYD,1.0173,01/01/2023,31/01/2023
Central African Republic,CFA Franc,XAF,764.2939,01/01/2023,31/01/2023
Chad,CFA Franc,XAF,764.2939,01/01/2023,31/01/2023
Chile,Peso,CLP,1076.6197,01/01/2023,31/01/2023
