Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.8864,01/12/2020,31/12/2020
Albania,Lek,ALL,138.67,01/12/2020,31/12/2020
Algeria,Dinar,DZD,170.86,01/12/2020,31/12/2020
Angola,Readj Kwanza,AOA,884.19,01/12/2020,31/12/2020
Antigua,E Caribbean Dollar,XCD,3.5918,01/12/2020,31/12/2020
Argentina,Peso,ARS,106.63,01/12/2020,31/12/2020
Armenia,Dram,AMD,663.55,01/12/2020,31/12/2020
Aruba,Florin,AWG,2.3812,01/12/2020,31/12/2020
Australia,Dollar,AUD,1.816,01/12/2020,31/12/2020
Azerbaijan,New Manat,AZN,2.2602,01/12/2020,31/12/2020
Bahamas,Dollar,BSD,1.3303,01/12/2020,31/12/2020
Bahrain,Dinar,BHD,0.5017,01/12/2020,31/12/2020
Bangladesh,Taka,BDT,112.74,01/12/2020,31/12/2020
Barbados,Dollar,BBD,2.6606,01/12/2020,31/12/2020
Belarus,Rouble,BYN,3.3971,01/12/2020,31/12/2020
Belize,Dollar,BZD,2.6606,01/12/2020,31/12/2020
Benin,CFA Franc,XOF,734.77,01/12/2020,31/12/2020
Bermuda,Dollar (US),BMD,1.3303,01/12/2020,31/12/2020
Bhutan,Ngultrum,BTN,98.68,01/12/2020,31/12/2020
Bolivia,Boliviano,BOB,9.1924,01/12/2020,31/12/2020
Bosnia- Herzegovinia,Marka,BAM,2.1908,01/12/2020,31/12/2020
Botswana,Pula,BWP,14.77,01/12/2020,31/12/2020
Brazil,Real,BRL,7.0412,01/12/2020,31/12/2020
Brunei,Dollar,BND,1.7833,01/12/2020,31/12/2020
Bulgaria,Lev,BGN,2.1909,01/12/2020,31/12/2020
Burkina Faso,CFA Franc,XOF,734.77,01/12/2020,31/12/2020
Burundi,Franc,BIF,2578.41,01/12/2020,31/12/2020
Cambodia,Riel,KHR,5405,01/12/2020,31/12/2020
Cameroon Republic,CFA Franc,XAF,734.77,01/12/2020,31/12/2020
Canada,Dollar,CAD,1.7382,01/12/2020,31/12/2020
Cape Verde Islands,Escudo,CVE,124.11,01/12/2020,31/12/2020
Cayman Islands,Dollar,KYD,1.0908,01/12/2020,31/12/2020
Central African Republic,CFA Franc,XAF,734.77,01/12/2020,31/12/2020
Chad,CFA Franc,XAF,734.77,01/12/2020,31/12/2020
Chile,Peso,CLP,1007.66,01/12/2020,31/12/2020
China,Yuan,CNY,8.7213,01/12/2020,31/12/2020
Colombia,Peso,COP,4854.19,01/12/2020,31/12/2020
Comoros,Franc,KMF,551.08,01/12/2020,31/12/2020
Congo (Brazaville),CFA Franc,XAF,734.77,01/12/2020,31/12/2020
Congo (DemRep),Congo Fr,CDF,2605.12,01/12/2020,31/12/2020
Costa Rica,Colon,CRC,807.97,01/12/2020,31/12/2020
Cote d'Ivoire,CFA Franc,XOF,734.77,01/12/2020,31/12/2020
Croatia,Kuna,HRK,8.4767,01/12/2020,31/12/2020
Cuba,Peso,CUP,1.3303,01/12/2020,31/12/2020
Czech Republic,Koruna,CZK,29.52,01/12/2020,31/12/2020
Denmark,Krone,DKK,8.3464,01/12/2020,31/12/2020
Djibouti,Franc,DJF,236.42,01/12/2020,31/12/2020
Dominica,E Caribbean Dollar,XCD,3.5918,01/12/2020,31/12/2020
Dominican Republic,Peso,DOP,77.05,01/12/2020,31/12/2020
Dubai,Dirham,AED,4.8864,01/12/2020,31/12/2020
Ecuador,Dollar,ECS,1.3303,01/12/2020,31/12/2020
Egypt,Pound,EGP,20.78,01/12/2020,31/12/2020
El Salvador,Colon,SVC,11.64,01/12/2020,31/12/2020
Equatorial Guinea,CFA Franc,XAF,734.77,01/12/2020,31/12/2020
Eritrea,Nakfa,ERN,19.95,01/12/2020,31/12/2020
Ethiopia,Birr,ETB,50.57,01/12/2020,31/12/2020
Eurozone,Euro,EUR,1.1202,01/12/2020,31/12/2020
Fiji Islands,Dollar,FJD,2.7898,01/12/2020,31/12/2020
Fr. Polynesia,CFP Franc,XPF,133.67,01/12/2020,31/12/2020
Gabon,CFA Franc,XAF,734.77,01/12/2020,31/12/2020
Gambia,Dalasi,GMD,68.77,01/12/2020,31/12/2020
Georgia,Lari,GEL,4.3982,01/12/2020,31/12/2020
Ghana,Cedi,GHS,7.759,01/12/2020,31/12/2020
Grenada,E Caribbean Dollar,XCD,3.5918,01/12/2020,31/12/2020
Guatemala,Quetzal,GTQ,10.34,01/12/2020,31/12/2020
Guinea Bissau,CFA Franc,XOF,734.77,01/12/2020,31/12/2020
Guinea Republic,Franc,GNF,13058.23,01/12/2020,31/12/2020
Guyana,Dollar,GYD,277.94,01/12/2020,31/12/2020
Haiti,Gourde,HTG,85.33,01/12/2020,31/12/2020
Honduras,Lempira,HNL,32.32,01/12/2020,31/12/2020
Hong Kong,Dollar,HKD,10.31,01/12/2020,31/12/2020
