Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.9576,01/01/2021,31/01/2021
Albania,Lek,ALL,136.94,01/01/2021,31/01/2021
Algeria,Dinar,DZD,178.01,01/01/2021,31/01/2021
Angola,Readj Kwanza,AOA,885.28,01/01/2021,31/01/2021
Antigua,E Caribbean Dollar,XCD,3.6442,01/01/2021,31/01/2021
Argentina,Peso,ARS,111.52,01/01/2021,31/01/2021
Armenia,Dram,AMD,708.45,01/01/2021,31/01/2021
Aruba,Florin,AWG,2.4159,01/01/2021,31/01/2021
Australia,Dollar,AUD,1.7842,01/01/2021,31/01/2021
Azerbaijan,New Manat,AZN,2.2931,01/01/2021,31/01/2021
Bahamas,Dollar,BSD,1.3497,01/01/2021,31/01/2021
Bahrain,Dinar,BHD,0.5089,01/01/2021,31/01/2021
Bangladesh,Taka,BDT,114.38,01/01/2021,31/01/2021
Barbados,Dollar,BBD,2.6994,01/01/2021,31/01/2021
Belarus,Rouble,BYN,3.4034,01/01/2021,31/01/2021
Belize,Dollar,BZD,2.6994,01/01/2021,31/01/2021
Benin,CFA Franc,XOF,726.49,01/01/2021,31/01/2021
Bermuda,Dollar (US),BMD,1.3497,01/01/2021,31/01/2021
Bhutan,Ngultrum,BTN,99.3204,01/01/2021,31/01/2021
Bolivia,Boliviano,BOB,9.3264,01/01/2021,31/01/2021
Bosnia- Herzegovinia,Marka,BAM,2.1661,01/01/2021,31/01/2021
Botswana,Pula,BWP,14.68,01/01/2021,31/01/2021
Brazil,Real,BRL,6.919,01/01/2021,31/01/2021
Brunei,Dollar,BND,1.7942,01/01/2021,31/01/2021
Bulgaria,Lev,BGN,2.1661,01/01/2021,31/01/2021
Burkina Faso,CFA Franc,XOF,726.49,01/01/2021,31/01/2021
Burundi,Franc,BIF,2623.8,01/01/2021,31/01/2021
Cambodia,Riel,KHR,5452.75,01/01/2021,31/01/2021
Cameroon Republic,CFA Franc,XAF,726.49,01/01/2021,31/01/2021
Canada,Dollar,CAD,1.7223,01/01/2021,31/01/2021
Cape Verde Islands,Escudo,CVE,122.41,01/01/2021,31/01/2021
