Country,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.8012,01/01/2020,31/01/2020
Albania,Lek,ALL,143.53,01/01/2020,31/01/2020
Algeria,Dinar,DZD,156.25,01/01/2020,31/01/2020
Angola,Readj Kwanza,AOA,598.72,01/01/2020,31/01/2020
Antigua,E Caribbean Dollar,XCD,3.5292,01/01/2020,31/01/2020
Argentina,Peso,ARS,78.18,01/01/2020,31/01/2020
Armenia,Dram,AMD,624.19,01/01/2020,31/01/2020
Aruba,Florin,AWG,2.3397,01/01/2020,31/01/2020
Australia,Dollar,AUD,1.905,01/01/2020,31/01/2020
Azerbaijan,New Manat,AZN,2.2175,01/01/2020,31/01/2020
Bahamas,Dollar,BSD,1.3071,01/01/2020,31/01/2020
Bahrain,Dinar,BHD,0.4928,01/01/2020,31/01/2020
Bangladesh,Taka,BDT,111.1,01/01/2020,31/01/2020
Barbados,Dollar,BBD,2.6142,01/01/2020,31/01/2020
Belarus,Rouble,BYN,2.754,01/01/2020,31/01/2020
Belize,Dollar,BZD,2.6142,01/01/2020,31/01/2020
Benin,CFA Franc,XOF,770.63,01/01/2020,31/01/2020
Bermuda,Dollar (US),BMD,1.3071,01/01/2020,31/01/2020
Bhutan,Ngultrum,BTN,92.77,01/01/2020,31/01/2020
Bolivia,Boliviano,BOB,9.0321,01/01/2020,31/01/2020
Bosnia- Herzegovinia,Marka,BAM,2.2977,01/01/2020,31/01/2020
Botswana,Pula,BWP,13.99,01/01/2020,31/01/2020
Brazil,Real,BRL,5.2977,01/01/2020,31/01/2020
Brunei,Dollar,BND,1.7713,01/01/2020,31/01/2020
Bulgaria,Lev,BGN,2.2978,01/01/2020,31/01/2020
Burkina Faso,CFA Franc,XOF,770.63,01/01/2020,31/01/2020
Burundi,Franc,BIF,2455.03,01/01/2020,31/01/2020
Cambodia,Riel,KHR,5315.99,01/01/2020,31/01/2020
Cameroon Republic,CFA Franc,XAF,770.63,01/01/2020,31/01/2020
Canada,Dollar,CAD,1.7143,01/01/2020,31/01/2020
Cape Verde Islands,Escudo,CVE,130.12,01/01/2020,31/01/2020
Cayman Islands,Dollar,KYD,1.0718,01/01/2020,31/01/2020
Central African Republic,CFA Franc,XAF,770.63,01/01/2020,31/01/2020
Chad,CFA Franc,XAF,770.63,01/01/2020,31/01/2020
Chile,Peso,CLP,982.17,01/01/2020,31/01/2020
China,Yuan,CNY,9.1492,01/01/2020,31/01/2020
Colombia,Peso,COP,4341.16,01/01/2020,31/01/2020
Comoros,Franc,KMF,577.97,01/01/2020,31/01/2020
Congo (Brazaville),CFA Franc,XAF,770.63,01/01/2020,31/01/2020
Congo (DemRep),Congo Fr,CDF,2200.7,01/01/2020,31/01/2020
Costa Rica,Colon,CRC,739.61,01/01/2020,31/01/2020
Cote d'Ivoire,CFA Franc,XOF,770.63,01/01/2020,31/01/2020
Croatia,Kuna,HRK,8.7526,01/01/2020,31/01/2020
Cuba,Peso,CUP,1.3071,01/01/2020,31/01/2020
Czech Republic,Koruna,CZK,29.93,01/01/2020,31/01/2020
Denmark,Krone,DKK,8.7784,01/01/2020,31/01/2020
Djibouti,Franc,DJF,232.29,01/01/2020,31/01/2020
Dominica,E Caribbean Dollar,XCD,3.5292,01/01/2020,31/01/2020
Dominican Republic,Peso,DOP,69.38,01/01/2020,31/01/2020
